"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING%2C%20MANUFACTURING' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
1,IEEE-ASME TRANSACTIONS ON MECHATRONICS,"4,858",3.851,0.012150,
2,COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,"13,369",3.719,0.017220,
3,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,"8,456",3.315,0.007860,
4,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,"12,326",2.782,0.020630,
5,International Journal of Precision Engineering and Manufacturing-Green Technology,129,2.545,0.000320,
6,CIRP ANNALS-MANUFACTURING TECHNOLOGY,"7,464",2.492,0.008350,
7,JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,"21,071",2.359,0.016400,
8,JOURNAL OF MANUFACTURING SYSTEMS,"1,091",2.240,0.002000,
9,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,"1,931",2.077,0.003740,
10,DESIGN STUDIES,"1,828",2.070,0.001330,
11,JOURNAL OF INTELLIGENT MANUFACTURING,"2,217",1.995,0.003920,
12,PRECISION ENGINEERING-JOURNAL OF THE INTERNATIONAL SOCIETIES FOR PRECISION ENGINEERING AND NANOTECHNOLOGY,"2,216",1.914,0.004240,
13,Flexible Services and Manufacturing Journal,227,1.857,0.001020,
14,RESEARCH IN ENGINEERING DESIGN,886,1.786,0.000800,
15,Journal of Manufacturing Processes,621,1.771,0.001630,
16,PRODUCTION AND OPERATIONS MANAGEMENT,"3,032",1.732,0.006900,
17,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,"9,666",1.693,0.014740,
18,International Journal of Simulation Modelling,182,1.683,0.000460,
19,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,"12,461",1.568,0.022370,
20,PRODUCTION PLANNING & CONTROL,"1,539",1.532,0.001820,
21,MATERIALS AND MANUFACTURING PROCESSES,"2,562",1.419,0.004150,
22,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,"1,141",1.319,0.001820,
23,PACKAGING TECHNOLOGY AND SCIENCE,889,1.292,0.000850,
24,International Journal of Material Forming,773,1.241,0.002240,
25,ASSEMBLY AUTOMATION,469,1.176,0.000760,
26,MACHINING SCIENCE AND TECHNOLOGY,529,1.172,0.000700,
27,IEEE Transactions on Components Packaging and Manufacturing Technology,"3,825",1.151,0.008020,
28,Advances in Production Engineering & Management,98,1.125,0.000230,
29,International Journal of Precision Engineering and Manufacturing,"1,748",1.075,0.004690,
30,IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,"1,099",1.045,0.001420,
31,JOURNAL OF SCHEDULING,885,1.023,0.002020,
32,CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,362,1.020,0.000350,
33,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART B-JOURNAL OF ENGINEERING MANUFACTURE,"2,162",0.978,0.002980,
34,SOLDERING & SURFACE MOUNT TECHNOLOGY,213,0.913,0.000350,
35,AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,450,0.877,0.000440,
36,International Journal of Design,281,0.875,0.000390,
37,JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,500,0.790,0.000870,
38,INTERNATIONAL JOURNAL OF CRASHWORTHINESS,656,0.680,0.000910,
39,Human Factors and Ergonomics in Manufacturing & Service Industries,359,0.462,0.000600,
40,INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING-THEORY APPLICATIONS AND PRACTICE,251,0.385,0.000250,
41,Journal of Advanced Mechanical Design Systems and Manufacturing,244,0.331,0.000650,
42,MANUFACTURING ENGINEERING,82,0.023,0.000050,
Copyright Â© 2016 Thomson Reuters,,,,, 1 
